,Name,Gender,Wikipage?,Year created,month created,page author,disambiguation notes
135,Antonis Rokas ,m,no,,,,
136,Jeffrey Ross-Ibarra ,m,no,,,,
137,James A. Roth ,m,no,,,,
138,Daniel Schaid ,m,no,,,,
139,G. Eric Schaller ,m,no,,,,
140,Jeremiah Scharf ,m,no,,,,
141,Karen Sears ,f,no,,,,
142,Mark Seielstad ,m,no,,,,
143,Peter Setlow ,m,no,,,,
145,Alan Shuldiner ,m,no,,,,
146,Nathan Michael Springer ,m,no,,,,
147,Jason E. Stajich ,m,no,,,,
148,James V. Staros ,m,no,,,,
149,David Johnston Stewart ,m,no,,,,
150,Joel A. Swanson ,m,no,,,,
151,Rick L. Tarleton ,m,no,,,,
153,Eric W. Triplett ,m,no,,,,
154,Geoffrey C. Trussell ,m,no,,,,
155,Walter Reinhart Tschinkel ,m,yes,2009,June,FSULawAlumni,as Walter R Tschinkel
158,Vassie Ware ,f,no,,,,
160,Wyeth W. Wasserman ,m,no,,,,
161,Daniel J. Wozniak ,m,no,,,,
162,Jin-Rong Xu ,m,no,,,,
163,Soojin Yi ,f,no,,,,
164,Havva Fitnat Yildiz ,f,no,,,,
165,Fanxiu Zhu ,m,no,,,,
166,Lee Zou ,m,no,,,,
167,José R. Almirall ,m,no,,,,
168,Rohit Bhargava ,m,no,,,,
169,Paul V. Braun ,m,no,,,,
170,Joan Blanchette Broderick ,f,yes,2016,december,Smokefoot,as Joan B Broderick
171,Felix (Phil) N. Castellano ,m,no,,,,
172,David E. Chavez ,m,no,,,,
173,Kelsey D. Cook ,f,no,,,,
175,Wibe A. de Jong ,m,no,,,,
178,Paul J. Dyson ,m,no,,,,
180,Jiaxing Huang ,m,no,,,,
182,Phillip E. Klebba ,m,no,,,,
183,Kenneth L. Knappenberger ,m,no,,,,
186,Hongbin Li ,m,no,,,,
188,Tianbo Liu,m,no,,,,
189,Tadeusz (Ted) Franciszek Molinski ,m,no,,,,
190,Janet R. Morrow ,f,no,,,,
191,John W. Olesik ,m,no,,,,
193,Daniel Raftery ,m,no,,,,
194,Michael D. Sevilla ,m,no,,,,
195,David S. Sholl ,m,no,,,,
197,Brian Space ,m,no,,,,
199,James M. Takacs ,m,no,,,,
200,Chuanbing Tang ,m,no,,,,
202,Gregory Tschumper ,m,no,,,,
203,Christopher D. Vanderwal ,m,no,,,,
204,Nathalie A. Wall ,f,no,,,,
206,Charles Weschler ,m,no,,,,
208,Frankie Wood-Black ,f,no,,,,
209,Karen Wooley ,f,no,,,,
211,Renny Theodore Franceschi ,m,no,,,,
212,Dennis F. Mangan ,m,no,,,,
213,Frank C. Nichols ,m,no,,,,
214,Stefan Hans-Klaus Ruhl ,m,no,,,,
216,Michael J. Dougherty ,m,no,,,,
217,John Kermit Haynes ,m,no,,,,
218,Henry Vincent Jakubowski ,m,no,,,,
219,Stacey Kiser ,f,no,,,,
220,Richard L. Kopec ,m,no,,,,
221,Xiufeng Liu ,m,no,,,,
222,David J. Marcey ,m,no,,,,
223,Marsha Lakes Matyas ,f,no,,,,
224,Linda Nicholas-Figueroa ,f,no,,,,
225,Dee Unglaub Silverthorn ,f,no,,,,
227,David W. Szymanski ,m,no,,,,
228,Edna Tan ,f,no,,,,
230,Hinda Zlotnik ,f,no,,,,
231,Mohammad S. Alam ,m,yes,2014,february,wormcast,as Mohammad Sajjad Alam
233,William R. Bickford ,m,no,,,,
235,Ruben G. Carbonell ,m,no,,,,
236,Michael L. Chabinyc ,m,no,,,,
237,Manish Chhowalla ,m,no,,,,
238,Edwin K. P. Chong ,m,no,,,,
239,Kristen P. Constant ,f,yes,2021,june,HickoryOughtShirt,as Kristen Constant
241,Angela Phillips Diaz ,f,yes,2021,september,HickoryOughtShirt,as Angela Diaz
242,Elizabeth C. Dickey ,f,no,,,,
243,Peter S. Fedkiw ,m,no,,,,
244,Eric M. Furst ,m,no,,,,
247,Michael C. Jewett ,m,no,,,,
248,Vistasp M. Karbhari ,m,yes,2013,September,UI1990,as Vistasp Karbhari
249,Michael R. Kessler ,m,no,,,,
251,Kristi L. Kiick ,f,yes,2020,january,Jesswade,as Kristi Kiick
252,Catherine Klapperich ,f,no,,,,
257,Ivan M. Lorkovic ,m,no,,,,
259,Sudip K. Mazumder ,m,yes,2017,april,topcipher,sudip mazumder
260,Triantafillos (Lakis) Mountziaris ,m,no,,,,
261,Uday B. Pal ,m,no,,,,
262,Ah-Hyung (Alissa) Park ,f,no,,,,
264,Gintaras Reklaitis ,m,no,,,,
265,Robert Oliver Ritchie ,m,no,,,,
266,J. Paul Robinson ,m,no,,,,
267,Nancy R. Sottos ,f,yes,2016,november,Mary Mark Ockerbloom,no middle name
268,Georgia (Gina) D. Tourassi ,f,yes,2019,June,Jesswade,
269,Paul J. Turinsky ,m,no,,,,
273,Nan Broadbent ,f,no,,,,
274,Tinsley Davis ,f,no,,,,
275,Linda D. Harrar ,f,no,,,,
276,James H. Lambert ,m,no,,,,
278,Jeremy B. Searle ,m,no,,,,
279,Ronald M. Thom ,m,no,,,,
281,Nan Yao ,m,no,,,,
284,Richard Walter Carlson ,m,no,,,,
285,Charles B. (Chuck) Connor ,m,no,,,,
288,Joshua S. Fu ,m,no,,,,
289,George Helz ,m,no,,,,
292,(Max) Qinhong Hu ,m,no,,,,
